,ZIPNUM,TOTAL_VALUE_ASSD
29,27608,695744
26,27605,639902
28,27607,507569
5,27518,488404
34,27614,468984
6,27519,459002
9,27523,447568
30,27609,442710
32,27612,401598
16,27562,391830
4,27513,387734
33,27613,386236
35,27615,377038
12,27539,373164
15,27560,367898
2,27502,361148
37,27617,360845
13,27540,347140
18,27587,346959
3,27511,339433
23,27601,334563
27,27606,330763
17,27571,321617
38,27703,290470
10,27526,288869
24,27603,264493
39,27713,260173
25,27604,243019
1,27501,242801
20,27592,239160
36,27616,235156
7,27520,234236
14,27545,230364
8,27522,229906
11,27529,224604
22,27597,217533
19,27591,205308
31,27610,197302
21,27596,178349
