,ZIPNUM,TOTSALPRICE
1,27501,268089
2,27502,369630
3,27511,314258
4,27513,370583
5,27518,443734
6,27519,457754
7,27520,207306
8,27522,173500
9,27523,509476
10,27526,295038
11,27529,226831
12,27539,369312
13,27540,363845
14,27545,243364
15,27560,339836
16,27562,404972
17,27571,340782
18,27587,356894
19,27591,215488
20,27592,258554
21,27596,183500
22,27597,216089
23,27601,371180
24,27603,276281
25,27604,242835
26,27605,644857
27,27606,319672
28,27607,483228
29,27608,621300
30,27609,399342
31,27610,197432
32,27612,373005
33,27613,377868
34,27614,445456
35,27615,344918
36,27616,237182
37,27617,338778
38,27703,292833
